c_fraction,strategy,system_tipped,final_defection_rate,steps_to_equilibrium,first_pillar_tip_step,cascade_start_step,all_tipped_step,pillar_0_tipped,pillar_0_rate,pillar_1_tipped,pillar_1_rate,pillar_2_tipped,pillar_2_rate,pillar_3_tipped,pillar_3_rate,pillar_4_tipped,pillar_4_rate
0.01,sequential,False,0.015055467511885896,22,,,,False,0.08962264150943396,False,0.0,False,0.0,False,0.0,False,0.0
0.01,sequential,False,0.021394611727416798,24,,,,False,0.1179245283018868,False,0.0,False,0.0,False,0.0,False,0.02
0.01,sequential,False,0.014263074484944533,22,,,,False,0.08490566037735849,False,0.0,False,0.0,False,0.0,False,0.0
0.01,sequential,False,0.01584786053882726,23,,,,False,0.09433962264150944,False,0.0,False,0.0,False,0.0,False,0.0
0.01,sequential,False,0.018225039619651346,22,,,,False,0.10849056603773585,False,0.0,False,0.0,False,0.0,False,0.0
0.01,sequential,False,0.01664025356576862,22,,,,False,0.09433962264150944,False,0.0,False,0.0,False,0.0,False,0.01
0.01,sequential,False,0.01901743264659271,25,,,,False,0.11320754716981132,False,0.0,False,0.0,False,0.0,False,0.0
0.01,sequential,False,0.01347068145800317,23,,,,False,0.08018867924528301,False,0.0,False,0.0,False,0.0,False,0.0
0.01,sequential,False,0.01664025356576862,23,,,,False,0.09905660377358491,False,0.0,False,0.0,False,0.0,False,0.0
0.01,sequential,False,0.015055467511885896,22,,,,False,0.08962264150943396,False,0.0,False,0.0,False,0.0,False,0.0
0.01,sequential,False,0.01664025356576862,22,,,,False,0.09905660377358491,False,0.0,False,0.0,False,0.0,False,0.0
0.01,sequential,False,0.018225039619651346,22,,,,False,0.10849056603773585,False,0.0,False,0.0,False,0.0,False,0.0
0.01,sequential,False,0.018225039619651346,22,,,,False,0.10849056603773585,False,0.0,False,0.0,False,0.0,False,0.0
0.01,sequential,False,0.01664025356576862,22,,,,False,0.09905660377358491,False,0.0,False,0.0,False,0.0,False,0.0
0.01,sequential,False,0.02377179080824089,25,,,,False,0.14150943396226415,False,0.0,False,0.0,False,0.0,False,0.0
0.01,sequential,False,0.24722662440570523,35,18.0,22.0,,True,1.0,False,0.0,False,0.0,False,0.0,True,1.0
0.01,sequential,False,0.018225039619651346,23,,,,False,0.10849056603773585,False,0.0,False,0.0,False,0.0,False,0.0
0.01,sequential,False,0.0277337559429477,24,,,,False,0.15566037735849056,False,0.0,False,0.0,False,0.0,False,0.02
0.01,sequential,False,0.014263074484944533,23,,,,False,0.08490566037735849,False,0.0,False,0.0,False,0.0,False,0.0
0.01,sequential,False,0.01664025356576862,22,,,,False,0.09905660377358491,False,0.0,False,0.0,False,0.0,False,0.0
0.01,sequential,False,0.014263074484944533,22,,,,False,0.08490566037735849,False,0.0,False,0.0,False,0.0,False,0.0
0.01,sequential,False,0.03328050713153724,29,,,,False,0.19811320754716982,False,0.0,False,0.0,False,0.0,False,0.0
0.01,sequential,False,0.01584786053882726,24,,,,False,0.09433962264150944,False,0.0,False,0.0,False,0.0,False,0.0
0.01,sequential,False,0.019809825673534072,23,,,,False,0.1179245283018868,False,0.0,False,0.0,False,0.0,False,0.0
0.01,sequential,False,0.01664025356576862,23,,,,False,0.09905660377358491,False,0.0,False,0.0,False,0.0,False,0.0
0.01,sequential,False,0.014263074484944533,23,,,,False,0.08490566037735849,False,0.0,False,0.0,False,0.0,False,0.0
0.01,sequential,False,0.015055467511885896,23,,,,False,0.08490566037735849,False,0.0,False,0.0,False,0.0,False,0.01
0.01,sequential,False,0.01584786053882726,22,,,,False,0.09433962264150944,False,0.0,False,0.0,False,0.0,False,0.0
0.01,sequential,False,0.01901743264659271,23,,,,False,0.10849056603773585,False,0.0,False,0.0,False,0.0,False,0.01
0.01,sequential,False,0.019809825673534072,22,,,,False,0.1179245283018868,False,0.0,False,0.0,False,0.0,False,0.0
0.01,sequential,False,0.01347068145800317,22,,,,False,0.08018867924528301,False,0.0,False,0.0,False,0.0,False,0.0
0.01,sequential,False,0.01901743264659271,23,,,,False,0.11320754716981132,False,0.0,False,0.0,False,0.0,False,0.0
0.01,sequential,False,0.014263074484944533,24,,,,False,0.08490566037735849,False,0.0,False,0.0,False,0.0,False,0.0
0.01,sequential,False,0.014263074484944533,22,,,,False,0.08490566037735849,False,0.0,False,0.0,False,0.0,False,0.0
0.01,sequential,False,0.01584786053882726,22,,,,False,0.09433962264150944,False,0.0,False,0.0,False,0.0,False,0.0
0.01,sequential,False,0.10618066561014262,30,17.0,,,False,0.16037735849056603,False,0.0,False,0.0,False,0.0,True,1.0
0.01,sequential,False,0.021394611727416798,26,,,,False,0.12735849056603774,False,0.0,False,0.0,False,0.0,False,0.0
0.01,sequential,False,0.018225039619651346,23,,,,False,0.10849056603773585,False,0.0,False,0.0,False,0.0,False,0.0
0.01,sequential,False,0.021394611727416798,22,,,,False,0.1179245283018868,False,0.0,False,0.0,False,0.0,False,0.02
0.01,sequential,False,0.01347068145800317,22,,,,False,0.08018867924528301,False,0.0,False,0.0,False,0.0,False,0.0
0.01,sequential,False,0.018225039619651346,23,,,,False,0.10849056603773585,False,0.0,False,0.0,False,0.0,False,0.0
0.01,sequential,False,0.01347068145800317,23,,,,False,0.08018867924528301,False,0.0,False,0.0,False,0.0,False,0.0
0.01,sequential,False,0.03169572107765452,26,,,,False,0.18867924528301888,False,0.0,False,0.0,False,0.0,False,0.0
0.01,sequential,False,0.017432646592709985,22,,,,False,0.10377358490566038,False,0.0,False,0.0,False,0.0,False,0.0
0.01,sequential,False,0.018225039619651346,23,,,,False,0.10849056603773585,False,0.0,False,0.0,False,0.0,False,0.0
0.01,sequential,False,0.10538827258320127,28,15.0,,,False,0.15566037735849056,False,0.0,False,0.0,False,0.0,True,1.0
0.01,sequential,False,0.011885895404120444,23,,,,False,0.07075471698113207,False,0.0,False,0.0,False,0.0,False,0.0
0.01,sequential,False,0.012678288431061807,22,,,,False,0.07547169811320754,False,0.0,False,0.0,False,0.0,False,0.0
0.01,sequential,False,0.01584786053882726,25,,,,False,0.09433962264150944,False,0.0,False,0.0,False,0.0,False,0.0
0.01,sequential,False,0.01584786053882726,23,,,,False,0.09433962264150944,False,0.0,False,0.0,False,0.0,False,0.0
0.01,sequential,False,0.02377179080824089,23,,,,False,0.14150943396226415,False,0.0,False,0.0,False,0.0,False,0.0
0.01,sequential,False,0.01584786053882726,22,,,,False,0.09433962264150944,False,0.0,False,0.0,False,0.0,False,0.0
0.01,sequential,False,0.011885895404120444,22,,,,False,0.07075471698113207,False,0.0,False,0.0,False,0.0,False,0.0
0.01,simultaneous,False,0.010301109350237718,22,,,,False,0.06132075471698113,False,0.0,False,0.0,False,0.0,False,0.0
0.01,sequential,False,0.011093502377179081,22,,,,False,0.0660377358490566,False,0.0,False,0.0,False,0.0,False,0.0
0.01,sequential,False,0.01664025356576862,22,,,,False,0.09905660377358491,False,0.0,False,0.0,False,0.0,False,0.0
0.01,simultaneous,False,0.014263074484944533,22,,,,False,0.08490566037735849,False,0.0,False,0.0,False,0.0,False,0.0
0.01,simultaneous,False,0.022187004754358162,24,,,,False,0.12735849056603774,False,0.0,False,0.0,False,0.0,False,0.01
0.01,simultaneous,False,0.017432646592709985,24,,,,False,0.10377358490566038,False,0.0,False,0.0,False,0.0,False,0.0
0.01,simultaneous,False,0.01584786053882726,23,,,,False,0.09433962264150944,False,0.0,False,0.0,False,0.0,False,0.0
0.01,simultaneous,False,0.018225039619651346,24,,,,False,0.10849056603773585,False,0.0,False,0.0,False,0.0,False,0.0
0.01,simultaneous,False,0.018225039619651346,23,,,,False,0.10849056603773585,False,0.0,False,0.0,False,0.0,False,0.0
0.01,simultaneous,False,0.019809825673534072,22,,,,False,0.1179245283018868,False,0.0,False,0.0,False,0.0,False,0.0
0.01,simultaneous,False,0.020602218700475437,24,,,,False,0.10849056603773585,False,0.0,False,0.0,False,0.0,False,0.03
0.01,simultaneous,False,0.019809825673534072,23,,,,False,0.1179245283018868,False,0.0,False,0.0,False,0.0,False,0.0
0.01,simultaneous,False,0.1045958795562599,26,12.0,,,False,0.1509433962264151,False,0.0,False,0.0,False,0.0,True,1.0
0.01,simultaneous,False,0.017432646592709985,23,,,,False,0.09905660377358491,False,0.0,False,0.0,False,0.0,False,0.01
0.01,simultaneous,False,0.020602218700475437,25,,,,False,0.12264150943396226,False,0.0,False,0.0,False,0.0,False,0.0
0.01,simultaneous,False,0.01901743264659271,24,,,,False,0.10849056603773585,False,0.0,False,0.0,False,0.0,False,0.01
0.01,sequential,False,0.020602218700475437,26,,,,False,0.12264150943396226,False,0.0,False,0.0,False,0.0,False,0.0
0.01,simultaneous,False,0.01584786053882726,24,,,,False,0.09433962264150944,False,0.0,False,0.0,False,0.0,False,0.0
0.01,simultaneous,False,0.01584786053882726,22,,,,False,0.09433962264150944,False,0.0,False,0.0,False,0.0,False,0.0
