c_fraction,counter,defense,system_tipped,final_defection_rate,steps_to_equilibrium
0.01,none,none,False,0.017432646592709985,23
0.01,none,none,False,0.022979397781299524,26
0.01,none,none,False,0.24722662440570523,29
0.01,none,none,False,0.01664025356576862,22
0.01,none,none,False,0.24722662440570523,33
0.01,none,none,False,0.014263074484944533,23
0.01,none,none,False,0.015055467511885896,23
0.01,none,none,False,0.09984152139461172,31
0.01,none,none,False,0.014263074484944533,23
0.01,none,none,False,0.11489698890649762,37
0.01,none,none,False,0.020602218700475437,22
0.01,none,none,False,0.017432646592709985,25
0.01,none,none,False,0.01347068145800317,22
0.01,none,none,False,0.09984152139461172,24
0.01,none,none,False,0.012678288431061807,23
0.01,none,none,False,0.02456418383518225,24
0.01,none,none,False,0.011885895404120444,22
0.01,none,none,False,0.011885895404120444,22
0.01,none,none,False,0.01347068145800317,23
0.01,none,none,False,0.010301109350237718,22
0.01,none,none,False,0.015055467511885896,23
0.01,none,none,False,0.017432646592709985,23
0.01,none,none,False,0.014263074484944533,22
0.01,none,none,False,0.011885895404120444,22
0.01,none,none,False,0.015055467511885896,22
0.01,none,none,False,0.015055467511885896,24
0.01,none,none,False,0.012678288431061807,22
0.01,none,none,False,0.17274167987321712,31
0.01,none,none,False,0.017432646592709985,22
0.01,none,none,False,0.022187004754358162,23
0.01,none,none,False,0.025356576862123614,24
0.01,none,none,False,0.01584786053882726,23
0.01,none,none,False,0.01664025356576862,22
0.01,none,none,False,0.021394611727416798,22
0.01,none,none,False,0.018225039619651346,22
0.01,none,none,False,0.01901743264659271,23
0.01,none,none,False,0.02694136291600634,23
0.01,none,none,False,0.01664025356576862,24
0.01,none,none,False,0.022187004754358162,26
0.01,none,none,False,0.01664025356576862,25
0.01,none,none,False,0.012678288431061807,22
0.01,none,none,False,0.03248811410459588,29
0.01,none,none,False,0.020602218700475437,23
0.01,none,none,False,0.01901743264659271,26
0.01,none,none,False,0.022187004754358162,26
0.01,none,none,False,0.012678288431061807,22
0.01,none,none,False,0.01347068145800317,23
0.01,none,none,False,0.011885895404120444,23
0.01,none,none,False,0.1386687797147385,43
0.01,none,none,False,0.026148969889064975,23
0.01,none,none,False,0.018225039619651346,22
0.01,none,none,False,0.01664025356576862,22
0.01,none,none,False,0.014263074484944533,23
0.01,none,none,False,0.022187004754358162,22
0.01,none,none,False,0.011885895404120444,22
0.01,none,none,False,0.24722662440570523,40
0.01,none,none,False,0.022979397781299524,24
0.01,none,none,False,0.025356576862123614,26
0.01,none,none,False,0.015055467511885896,22
0.01,none,none,False,0.011885895404120444,22
0.01,none,none,False,0.11251980982567353,32
0.01,none,none,False,0.018225039619651346,22
0.01,none,none,False,0.01901743264659271,22
0.01,none,none,False,0.10380348652931855,32
0.01,none,none,False,0.05467511885895404,30
0.01,none,none,False,0.026148969889064975,25
0.01,none,none,False,0.020602218700475437,25
0.01,none,none,False,0.014263074484944533,23
0.01,none,none,False,0.018225039619651346,23
0.01,none,none,False,0.02694136291600634,26
0.01,none,none,False,0.01347068145800317,23
0.01,none,none,False,0.011093502377179081,22
0.01,none,none,False,0.10538827258320127,23
0.01,none,none,False,0.01664025356576862,23
0.01,none,none,False,0.022979397781299524,26
0.01,none,none,False,0.12202852614896989,37
0.01,none,none,False,0.011885895404120444,23
0.01,none,none,False,0.022187004754358162,25
0.01,none,none,False,0.011885895404120444,22
0.01,none,none,False,0.01347068145800317,23
0.01,none,none,False,0.022979397781299524,23
0.01,none,none,False,0.012678288431061807,24
0.01,none,none,False,0.014263074484944533,23
0.01,none,none,False,0.03803486529318542,24
0.01,none,none,False,0.015055467511885896,24
0.01,none,none,False,0.025356576862123614,24
0.01,none,none,False,0.01664025356576862,22
0.01,none,none,False,0.01901743264659271,22
0.01,none,none,False,0.01901743264659271,23
0.01,none,none,False,0.01664025356576862,25
0.01,none,none,False,0.017432646592709985,27
0.01,fragmentation,none,False,0.10301109350237718,26
0.01,none,none,False,0.018225039619651346,22
0.01,none,none,False,0.026148969889064975,25
0.01,none,none,False,0.01347068145800317,23
0.01,none,none,False,0.021394611727416798,24
0.01,fragmentation,none,False,0.12044374009508717,27
0.01,fragmentation,none,False,0.03169572107765452,23
0.01,fragmentation,none,False,0.098256735340729,38
0.01,fragmentation,none,False,0.1751188589540412,28
0.01,fragmentation,none,False,0.18304278922345482,31
0.01,none,none,False,0.018225039619651346,22
0.01,fragmentation,none,False,0.15055467511885895,34
0.01,fragmentation,none,False,0.1838351822503962,32
0.01,none,none,False,0.015055467511885896,22
0.01,fragmentation,none,False,0.1751188589540412,35
0.01,fragmentation,none,False,0.04992076069730586,23
0.01,fragmentation,none,False,0.12123613312202852,37
0.01,fragmentation,none,False,0.0919175911251981,26
0.01,fragmentation,none,False,0.03248811410459588,23
0.01,fragmentation,none,False,0.18462757527733756,34
0.01,fragmentation,none,False,0.13312202852614896,27
0.01,fragmentation,none,False,0.2393026941362916,40
0.01,fragmentation,none,False,0.10142630744849446,36
0.01,fragmentation,none,False,0.15689381933438987,38
0.01,fragmentation,none,False,0.14659270998415214,31
0.01,fragmentation,none,False,0.08795562599049128,29
0.01,fragmentation,none,False,0.13708399366085577,27
0.01,fragmentation,none,False,0.42789223454833597,40
0.01,fragmentation,none,False,0.07448494453248812,30
0.01,fragmentation,none,False,0.09270998415213946,26
0.01,fragmentation,none,False,0.098256735340729,34
0.01,fragmentation,none,False,0.1109350237717908,32
0.01,fragmentation,none,False,0.03724247226624406,23
0.01,fragmentation,none,False,0.09746434231378764,26
0.01,fragmentation,none,False,0.10221870047543581,40
0.01,fragmentation,none,False,0.12123613312202852,34
0.01,fragmentation,none,False,0.10855784469096671,26
0.01,fragmentation,none,False,0.061014263074484945,30
0.01,fragmentation,none,False,0.1600633914421553,35
0.01,fragmentation,none,False,0.14580031695721077,40
0.01,fragmentation,none,False,0.13787638668779714,28
0.01,fragmentation,none,False,0.20681458003169573,43
0.01,fragmentation,none,False,0.18066561014263074,29
0.01,fragmentation,none,False,0.2765451664025357,37
0.01,fragmentation,none,False,0.16085578446909668,32
0.01,fragmentation,none,False,0.33518225039619653,39
0.01,fragmentation,none,False,0.09429477020602219,28
0.01,fragmentation,none,False,0.16402535657686212,37
0.01,fragmentation,none,False,0.06973058637083994,26
0.01,fragmentation,none,False,0.3676703645007924,43
0.01,fragmentation,none,False,0.08874801901743265,26
0.01,fragmentation,none,False,0.09112519809825674,32
0.01,fragmentation,none,False,0.24405705229793978,41
0.01,fragmentation,none,False,0.08161648177496038,28
0.01,fragmentation,none,False,0.3613312202852615,42
0.01,fragmentation,none,False,0.05309033280507131,24
0.01,fragmentation,none,False,0.08874801901743265,23
0.01,fragmentation,none,False,0.13153724247226625,32
0.01,none,none,False,0.011093502377179081,22
0.01,fragmentation,none,False,0.20206022187004755,36
0.01,fragmentation,none,False,0.12361331220285261,42
0.01,fragmentation,none,False,0.08637083993660856,26
0.01,fragmentation,none,False,0.33914421553090335,37
0.01,fragmentation,none,False,0.14976228209191758,39
0.01,fragmentation,none,False,0.04041204437400951,24
0.01,fragmentation,none,False,0.15293185419968305,35
0.01,fragmentation,none,False,0.06418383518225039,25
0.01,fragmentation,none,False,0.04992076069730586,24
0.01,fragmentation,none,False,0.09508716323296355,30
0.01,fragmentation,none,False,0.24405705229793978,39
0.01,fragmentation,none,False,0.10776545166402536,32
0.01,fragmentation,none,False,0.08399366085578447,32
0.01,fragmentation,none,False,0.24247226624405704,38
0.01,fragmentation,none,False,0.039619651347068144,24
0.01,fragmentation,none,False,0.10142630744849446,31
0.01,fragmentation,none,False,0.039619651347068144,24
0.01,fragmentation,none,False,0.24167987321711568,42
0.01,fragmentation,none,False,0.1862123613312203,34
0.01,fragmentation,none,False,0.1450079239302694,37
0.01,fragmentation,none,False,0.10301109350237718,28
0.01,fragmentation,none,False,0.35657686212361334,34
0.01,fragmentation,none,False,0.07923930269413629,31
0.01,fragmentation,none,False,0.08399366085578447,24
0.01,fragmentation,none,False,0.04675118858954041,25
0.01,fragmentation,none,False,0.03328050713153724,26
0.01,fragmentation,none,False,0.03724247226624406,24
0.01,fragmentation,none,False,0.3526148969889065,38
