scenario,c_fraction,tip_probability,mean_defection_rate
no_coupling,0.01,0.0,0.0222662440570523
no_coupling,0.019666666666666666,0.0,0.08332810047095762
no_coupling,0.02933333333333333,0.0,0.21597200622083984
no_coupling,0.039,0.0,0.3616718027734977
no_coupling,0.048666666666666664,0.0,0.4082900763358777
no_coupling,0.05833333333333333,0.0,0.43378214826021183
no_coupling,0.06799999999999999,0.03,0.4426761619190404
no_coupling,0.07766666666666665,0.35,0.4867409057164068
no_coupling,0.08733333333333332,0.59,0.5172847682119205
no_coupling,0.09699999999999999,0.82,0.5454412837345003
no_coupling,0.10666666666666665,0.99,0.5667823571945046
no_coupling,0.11633333333333332,1.0,0.5738136200716846
no_coupling,0.126,1.0,0.5835678749111586
no_coupling,0.13566666666666666,1.0,0.591169837914024
no_coupling,0.14533333333333331,1.0,0.5966946191474494
no_coupling,0.155,1.0,0.6084338184338184
no_coupling,0.16466666666666666,1.0,0.6152577319587629
no_coupling,0.1743333333333333,1.0,0.6268575323790048
no_coupling,0.184,1.0,0.6340878378378378
no_coupling,0.19366666666666665,1.0,0.642372654155496
no_coupling,0.2033333333333333,1.0,0.6518550531914893
no_coupling,0.213,1.0,0.6598284960422163
no_coupling,0.22266666666666665,1.0,0.6724869109947644
no_coupling,0.2323333333333333,1.0,0.6805909090909091
no_coupling,0.242,1.0,0.6893749999999998
no_coupling,0.25166666666666665,1.0,0.6996227621483375
no_coupling,0.2613333333333333,1.0,0.7039530456852792
no_coupling,0.27099999999999996,1.0,0.7150503778337531
no_coupling,0.2806666666666666,1.0,0.7227562499999999
no_coupling,0.29033333333333333,1.0,0.7263833746898264
no_coupling,0.3,1.0,0.7442399999999998
cascade_only,0.01,0.0,0.022369255150554674
cascade_only,0.019666666666666666,0.0,0.10328885400313974
cascade_only,0.02933333333333333,0.0,0.29354587869362364
cascade_only,0.039,0.02,0.39845916795069336
cascade_only,0.048666666666666664,0.06,0.4348473282442747
cascade_only,0.05833333333333333,0.56,0.497874432677761
cascade_only,0.06799999999999999,0.8,0.528470764617691
cascade_only,0.07766666666666665,0.99,0.5575946547884187
cascade_only,0.08733333333333332,1.0,0.5658719646799117
cascade_only,0.09699999999999999,1.0,0.5758570386579138
cascade_only,0.10666666666666665,1.0,0.5909182935647145
cascade_only,0.11633333333333332,1.0,0.5990035842293906
cascade_only,0.126,1.0,0.6189339019189766
cascade_only,0.13566666666666666,1.0,0.6281606765327695
cascade_only,0.14533333333333331,1.0,0.6436408106219428
cascade_only,0.155,1.0,0.6580249480249478
cascade_only,0.16466666666666666,1.0,0.6735326460481099
cascade_only,0.1743333333333333,1.0,0.6938173142467623
cascade_only,0.184,1.0,0.7150135135135136
cascade_only,0.19366666666666665,1.0,0.7215482573726542
cascade_only,0.2033333333333333,1.0,0.7576329787234043
cascade_only,0.213,1.0,0.7777308707124011
cascade_only,0.22266666666666665,1.0,0.8067931937172775
cascade_only,0.2323333333333333,1.0,0.8232077922077922
cascade_only,0.242,1.0,0.860264175257732
cascade_only,0.25166666666666665,1.0,0.8597762148337595
cascade_only,0.2613333333333333,1.0,0.8875571065989847
cascade_only,0.27099999999999996,1.0,0.8908060453400505
cascade_only,0.2806666666666666,1.0,0.902275
cascade_only,0.29033333333333333,1.0,0.8996153846153845
cascade_only,0.3,1.0,0.9139261538461539
mixed,0.01,0.0,0.027202852614896987
mixed,0.019666666666666666,0.12,0.20070643642072214
mixed,0.02933333333333333,0.6,0.47092534992223944
mixed,0.039,0.9,0.5918489984591679
mixed,0.048666666666666664,1.0,0.621793893129771
mixed,0.05833333333333333,1.0,0.6352723146747351
mixed,0.06799999999999999,1.0,0.6436281859070466
mixed,0.07766666666666665,1.0,0.6666518188567188
mixed,0.08733333333333332,1.0,0.6800441501103752
mixed,0.09699999999999999,1.0,0.6888694383661561
mixed,0.10666666666666665,1.0,0.7099783080260305
mixed,0.11633333333333332,1.0,0.7221648745519714
mixed,0.126,1.0,0.7429211087420042
mixed,0.13566666666666666,1.0,0.7556518675123324
mixed,0.14533333333333331,1.0,0.7703703703703703
mixed,0.155,1.0,0.8028967428967431
mixed,0.16466666666666666,1.0,0.8159312714776632
mixed,0.1743333333333333,1.0,0.8307293796864349
mixed,0.184,1.0,0.8623783783783785
mixed,0.19366666666666665,1.0,0.8791756032171582
mixed,0.2033333333333333,1.0,0.8955984042553191
mixed,0.213,1.0,0.903990765171504
mixed,0.22266666666666665,1.0,0.9163089005235602
mixed,0.2323333333333333,1.0,0.9354090909090906
mixed,0.242,1.0,0.941153350515464
mixed,0.25166666666666665,1.0,0.9449168797953963
mixed,0.2613333333333333,1.0,0.9514911167512692
mixed,0.27099999999999996,1.0,0.9578715365239296
mixed,0.2806666666666666,1.0,0.96040625
mixed,0.29033333333333333,1.0,0.9659367245657566
mixed,0.3,1.0,0.9722830769230769
