scenario,c_fraction,system_tipped,final_defection_rate,steps_to_equilibrium
no_coupling,0.01,False,0.011093502377179081,23
no_coupling,0.01,False,0.015055467511885896,23
no_coupling,0.01,False,0.017432646592709985,23
no_coupling,0.01,False,0.01347068145800317,23
no_coupling,0.01,False,0.017432646592709985,22
no_coupling,0.01,False,0.01664025356576862,22
no_coupling,0.01,False,0.014263074484944533,24
no_coupling,0.01,False,0.018225039619651346,22
no_coupling,0.01,False,0.01664025356576862,23
no_coupling,0.01,False,0.014263074484944533,22
no_coupling,0.01,False,0.014263074484944533,23
no_coupling,0.01,False,0.020602218700475437,24
no_coupling,0.01,False,0.026148969889064975,24
no_coupling,0.01,False,0.018225039619651346,22
no_coupling,0.01,False,0.009508716323296355,22
no_coupling,0.01,False,0.020602218700475437,24
no_coupling,0.01,False,0.01584786053882726,23
no_coupling,0.01,False,0.012678288431061807,23
no_coupling,0.01,False,0.012678288431061807,23
no_coupling,0.01,False,0.01901743264659271,24
no_coupling,0.01,False,0.01664025356576862,23
no_coupling,0.01,False,0.017432646592709985,22
no_coupling,0.01,False,0.011885895404120444,23
no_coupling,0.01,False,0.01347068145800317,23
no_coupling,0.01,False,0.018225039619651346,23
no_coupling,0.01,False,0.01664025356576862,23
no_coupling,0.01,False,0.02456418383518225,23
no_coupling,0.01,False,0.014263074484944533,23
no_coupling,0.01,False,0.019809825673534072,22
no_coupling,0.01,False,0.01664025356576862,22
no_coupling,0.01,False,0.015055467511885896,24
no_coupling,0.01,False,0.012678288431061807,22
no_coupling,0.01,False,0.01584786053882726,22
no_coupling,0.01,False,0.01664025356576862,23
no_coupling,0.01,False,0.021394611727416798,23
no_coupling,0.01,False,0.01584786053882726,23
no_coupling,0.01,False,0.015055467511885896,22
no_coupling,0.01,False,0.01584786053882726,23
no_coupling,0.01,False,0.021394611727416798,26
no_coupling,0.01,False,0.015055467511885896,23
no_coupling,0.01,False,0.042789223454833596,30
no_coupling,0.01,False,0.017432646592709985,23
no_coupling,0.01,False,0.16798732171156894,32
no_coupling,0.01,False,0.01901743264659271,22
no_coupling,0.01,False,0.01347068145800317,22
no_coupling,0.01,False,0.017432646592709985,23
no_coupling,0.01,False,0.02377179080824089,24
no_coupling,0.01,False,0.017432646592709985,24
no_coupling,0.01,False,0.011885895404120444,23
no_coupling,0.01,False,0.16798732171156894,33
no_coupling,0.01,False,0.010301109350237718,22
no_coupling,0.01,False,0.01347068145800317,22
no_coupling,0.01,False,0.026148969889064975,26
no_coupling,0.01,False,0.01347068145800317,24
no_coupling,0.01,False,0.021394611727416798,24
no_coupling,0.01,False,0.019809825673534072,26
no_coupling,0.01,False,0.02377179080824089,24
no_coupling,0.01,False,0.012678288431061807,22
no_coupling,0.01,False,0.01664025356576862,25
no_coupling,0.01,False,0.01347068145800317,22
no_coupling,0.01,False,0.017432646592709985,22
no_coupling,0.01,False,0.014263074484944533,22
no_coupling,0.01,False,0.018225039619651346,22
no_coupling,0.01,False,0.012678288431061807,22
no_coupling,0.01,False,0.017432646592709985,23
